title,img_url,director,starring,years,location,rating,reviews,genre
美国往事  / Once Upon a Time in America,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.webp,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ...,1984,"美国, 意大利",9.1,458617人评价,"犯罪, 剧情"
加勒比海盗  / Pirates of the Caribbean: The Curse of the Black Pearl,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.webp,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp / ...,2003,美国,8.8,944216人评价,"动作, 冒险, 奇幻"
还有明天  / C'è ancora domani,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918279456.webp,宝拉·柯特莱西 Paola Cortellesi,宝拉·柯特莱西 Paola Corte...,2023,意大利,9.4,304555人评价,"剧情, 喜剧, 历史"
红辣椒  / パプリカ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2794776839.webp,今敏 Satoshi Kon,林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,日本,9.0,548542人评价,"动画, 悬疑, 科幻, 惊悚"
七宗罪  / Se7en,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.webp,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman / 布...,1995,美国,8.8,1033310人评价,"剧情, 犯罪, 悬疑, 惊悚"
唐伯虎点秋香  / 唐伯虎點秋香,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.webp,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,中国香港,8.7,1193572人评价,"喜剧, 爱情, 古装"
狩猎  / Jagten,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.webp,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik...,2012,"丹麦, 瑞典",9.1,452693人评价,剧情
幽灵公主  / もののけ姫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2920895053.webp,宫崎骏 Hayao Miyazaki,松田洋治 Yôji Matsuda / 石田百合...,1997,日本,8.9,649726人评价,"动画, 奇幻, 冒险"
甜蜜蜜,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.webp,陈可辛 Peter Chan,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,中国香港,8.9,649199人评价,"剧情, 爱情"
蝙蝠侠：黑暗骑士崛起  / The Dark Knight Rises,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.webp,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2012,"美国, 英国",8.9,794406人评价,"剧情, 动作, 科幻, 犯罪, 惊悚"
7号房的礼物  / 7번방의 선물,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.webp,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,8.9,609164人评价,"剧情, 喜剧, 家庭"
寄生虫  / 기생충,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.webp,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,韩国,8.8,1509899人评价,剧情
